epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,mean_io_u
0,0.8905119895935059,0.2425774484872818,0.026766888797283173,0.0043445369228720665,0.0028517760802060366,0.608184814453125,0.4033888876438141
1,0.9068121910095215,0.25099924206733704,0.0486762672662735,0.010007381439208984,0.007329309359192848,0.44780677556991577,0.4136521518230438
2,0.8981412053108215,0.24805380403995514,0.04280218854546547,0.007781937252730131,0.0057657998986542225,0.5008625984191895,0.41241371631622314
3,0.9165334701538086,0.2499609887599945,0.04525329917669296,0.00922665186226368,0.006775619927793741,0.41099709272384644,0.410444974899292
4,0.9306675791740417,0.25033342838287354,0.04101807251572609,0.007892278954386711,0.005420495755970478,0.34263163805007935,0.40980350971221924
5,0.9350011348724365,0.2527253329753876,0.04605911299586296,0.009957264177501202,0.007475821767002344,0.317415326833725,0.4130045771598816
6,0.9377598166465759,0.2521722912788391,0.043612152338027954,0.008876156993210316,0.006752920802682638,0.31873735785484314,0.4145795404911041
7,0.9354860186576843,0.2518460750579834,0.04340576380491257,0.00826769508421421,0.006444280967116356,0.33104372024536133,0.41500604152679443
8,0.9378840327262878,0.25237545371055603,0.04354467615485191,0.00854555144906044,0.007039157208055258,0.31782716512680054,0.4168716073036194
9,0.9424022436141968,0.2523896098136902,0.044595420360565186,0.00871214922517538,0.007390329148620367,0.29692214727401733,0.4169999659061432
10,0.9435341358184814,0.2523864805698395,0.04463096335530281,0.007920135743916035,0.007256190292537212,0.29192671179771423,0.41832372546195984
11,0.9426252245903015,0.25204142928123474,0.04489082098007202,0.007927955128252506,0.0073677413165569305,0.29964590072631836,0.4178776144981384
12,0.9427359700202942,0.25303009152412415,0.04619709029793739,0.009159599430859089,0.009227339178323746,0.29368433356285095,0.4180695414543152
13,0.9436355233192444,0.25304821133613586,0.04467524215579033,0.008880072273314,0.00947582721710205,0.28875404596328735,0.41846704483032227
14,0.9442390203475952,0.2528435289859772,0.043420493602752686,0.008473003283143044,0.008942934684455395,0.28544777631759644,0.41791805624961853
15,0.9431931376457214,0.2535151541233063,0.045063234865665436,0.009355537593364716,0.009635647758841515,0.2859693765640259,0.4184301793575287
16,0.9457434415817261,0.2533881366252899,0.04348236322402954,0.009070590138435364,0.009193590842187405,0.27382558584213257,0.41827505826950073
17,0.9481768012046814,0.2534071207046509,0.04352531582117081,0.008988531306385994,0.009088046848773956,0.26160863041877747,0.41825082898139954
18,0.9471953511238098,0.25339430570602417,0.04410242661833763,0.008753265254199505,0.00934301782399416,0.265504390001297,0.4186307489871979
19,0.9469094276428223,0.2539699971675873,0.044341448694467545,0.009518072009086609,0.010577129200100899,0.26513975858688354,0.41851699352264404
20,0.9460376501083374,0.2537136673927307,0.043708685785532,0.009236188605427742,0.010200354270637035,0.2689066529273987,0.4184234142303467
21,0.9450170397758484,0.2536480128765106,0.04386049509048462,0.009175227023661137,0.010064751841127872,0.2722797095775604,0.4181678295135498
22,0.9441553950309753,0.25356441736221313,0.04394055902957916,0.00913028884679079,0.009856012649834156,0.2744884192943573,0.41752663254737854
23,0.9432350993156433,0.2533452808856964,0.043710675090551376,0.008968290872871876,0.00944534596055746,0.2767486274242401,0.41743889451026917
24,0.944892406463623,0.25351840257644653,0.04340069741010666,0.009492025710642338,0.00955217331647873,0.268790066242218,0.41771188378334045
25,0.9446302056312561,0.2537626326084137,0.04326358810067177,0.009821372106671333,0.010145203210413456,0.2693640887737274,0.41820746660232544
26,0.9459026455879211,0.2539581060409546,0.04365348070859909,0.010034727863967419,0.010199540294706821,0.26310744881629944,0.4185236692428589
27,0.9457526206970215,0.25442731380462646,0.04436870664358139,0.010639950633049011,0.010964368470013142,0.261971652507782,0.4188457131385803
28,0.9461372494697571,0.2542200982570648,0.04336076229810715,0.010351098142564297,0.010633341036736965,0.26100867986679077,0.41918906569480896
29,0.9459134936332703,0.25403401255607605,0.042891182005405426,0.010075326077640057,0.010318617336452007,0.2633110582828522,0.4189528524875641
30,0.9448848962783813,0.25404301285743713,0.04325114190578461,0.010179361328482628,0.010307621210813522,0.266622930765152,0.418857604265213
31,0.9457704424858093,0.2542659044265747,0.04414045065641403,0.01031721755862236,0.010253340005874634,0.26169076561927795,0.4192817509174347
32,0.9458482265472412,0.2541123628616333,0.04359016567468643,0.01009787991642952,0.010020304471254349,0.2617211639881134,0.41907012462615967
33,0.9463081359863281,0.25414958596229553,0.04334273189306259,0.010135877877473831,0.009884519502520561,0.25957614183425903,0.41979193687438965
34,0.945814847946167,0.25406789779663086,0.0432213619351387,0.010052393190562725,0.00978985894471407,0.2614140510559082,0.41975489258766174
35,0.9455660581588745,0.25388988852500916,0.04264149069786072,0.009850522503256798,0.009592576883733273,0.2634950280189514,0.41961827874183655
36,0.9457195401191711,0.25409021973609924,0.04324208199977875,0.010009494610130787,0.00984378345310688,0.2622191309928894,0.4199771285057068
37,0.9468245506286621,0.2541462182998657,0.04381772503256798,0.01008983887732029,0.009590323083102703,0.25684523582458496,0.41979527473449707
38,0.9459810256958008,0.25397056341171265,0.04366915300488472,0.009831124916672707,0.009486191906034946,0.2625754773616791,0.4198177456855774
39,0.9467954635620117,0.2539319097995758,0.043365009129047394,0.009683572687208652,0.009340813383460045,0.25879967212677,0.41984641551971436
40,0.9455369114875793,0.2541333734989166,0.0437517911195755,0.010084673762321472,0.009940482676029205,0.26257991790771484,0.4196372926235199
