epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,mean_io_u
0,0.9944028854370117,0.4582105278968811,0.671486496925354,0.6013150215148926,0.23486021161079407,0.023217130452394485,0.375
1,0.9544882774353027,0.43378424644470215,0.6213304996490479,0.4256225824356079,0.12605103850364685,0.1860826015472412,0.375
2,0.957068145275116,0.43924179673194885,0.5083556771278381,0.45348402857780457,0.16846144199371338,0.15806226432323456,0.375
3,0.9599317312240601,0.4729405343532562,0.5689263939857483,0.5338704586029053,0.19907419383525848,0.1404034048318863,0.375
4,0.9657724499702454,0.4899469316005707,0.6312989592552185,0.5518020391464233,0.20168718695640564,0.12025109678506851,0.375
5,0.9681131839752197,0.49903082847595215,0.6342048048973083,0.5757735967636108,0.21721595525741577,0.1093648299574852,0.375
6,0.9688544273376465,0.5017929673194885,0.6521565318107605,0.5844821333885193,0.2168252170085907,0.10559914261102676,0.375
7,0.967887282371521,0.4858461916446686,0.6352539658546448,0.5489246249198914,0.19449278712272644,0.10903782397508621,0.375
8,0.9693848490715027,0.49790748953819275,0.6550353765487671,0.5686803460121155,0.2089487463235855,0.10258638113737106,0.375
9,0.9680988192558289,0.498169481754303,0.6352446675300598,0.5755613446235657,0.21850009262561798,0.10362032800912857,0.375
10,0.9670297503471375,0.49981358647346497,0.6483539938926697,0.5726094841957092,0.2029973566532135,0.10745826363563538,0.375
11,0.9647409915924072,0.4901275336742401,0.6257017254829407,0.5500214695930481,0.19507354497909546,0.11544466018676758,0.375
12,0.9669223427772522,0.48616546392440796,0.6163889169692993,0.5550286173820496,0.2054188996553421,0.10848907381296158,0.375
13,0.9679403305053711,0.4945022761821747,0.6314075589179993,0.5780937075614929,0.20469774305820465,0.1054905503988266,0.375
14,0.9676812887191772,0.4871099293231964,0.6222557425498962,0.5395541787147522,0.20720191299915314,0.10468193143606186,0.375
15,0.9672464728355408,0.4849510192871094,0.6184118390083313,0.5356767773628235,0.1992766559123993,0.1068781241774559,0.375
16,0.9663848876953125,0.4862876832485199,0.6136031150817871,0.5380575060844421,0.20074287056922913,0.10854563862085342,0.375
17,0.967004656791687,0.4906398355960846,0.6245504021644592,0.5462534427642822,0.20193685591220856,0.10629116743803024,0.375
18,0.9684430360794067,0.4985964000225067,0.6391286253929138,0.564997673034668,0.20475386083126068,0.10178282856941223,0.375
19,0.9682628512382507,0.49733638763427734,0.6361119151115417,0.5524643659591675,0.21007660031318665,0.10041773319244385,0.375
20,0.9692578315734863,0.4991222023963928,0.6473170518875122,0.5541218519210815,0.2019500732421875,0.09777048975229263,0.375
21,0.9696658849716187,0.5024384260177612,0.6541174054145813,0.5613683462142944,0.2009354531764984,0.09596104919910431,0.375
22,0.9701839685440063,0.494139701128006,0.6355605125427246,0.5478513836860657,0.19230255484580994,0.09480889141559601,0.375
23,0.9710708260536194,0.4907877743244171,0.6367747783660889,0.5514779090881348,0.1843203902244568,0.09212806820869446,0.375
24,0.9717840552330017,0.4933871924877167,0.6439679861068726,0.5607288479804993,0.18532107770442963,0.09004215151071548,0.375
25,0.9726288914680481,0.49425357580184937,0.6479483246803284,0.5651803016662598,0.18779389560222626,0.08749797940254211,0.375
26,0.9731186628341675,0.4902447462081909,0.6468944549560547,0.5661295652389526,0.18083856999874115,0.08576136082410812,0.375
27,0.9733959436416626,0.49160367250442505,0.6504750847816467,0.5652447938919067,0.18383991718292236,0.08450498431921005,0.375
28,0.9715275168418884,0.4871063828468323,0.6424224376678467,0.5506084561347961,0.1787874847650528,0.08949795365333557,0.375
29,0.9720638394355774,0.48714885115623474,0.6471224427223206,0.5453922748565674,0.18079935014247894,0.08783438056707382,0.375
30,0.9708435535430908,0.4843074381351471,0.642375648021698,0.5405052900314331,0.17619098722934723,0.09219887852668762,0.375
31,0.9710432291030884,0.47718825936317444,0.622936487197876,0.5259428024291992,0.1706850230693817,0.09234234690666199,0.375
32,0.968680202960968,0.47396451234817505,0.6164600849151611,0.5161042809486389,0.1661340445280075,0.0994192361831665,0.375
33,0.969275951385498,0.47398510575294495,0.6202578544616699,0.5215913653373718,0.16178937256336212,0.09756528586149216,0.375
34,0.9700595140457153,0.4724361300468445,0.6249222159385681,0.5257766842842102,0.15931624174118042,0.0953502282500267,0.375
35,0.9702465534210205,0.47220510244369507,0.6263138055801392,0.5236369967460632,0.15637357532978058,0.0960581973195076,0.375
36,0.9706803560256958,0.47374972701072693,0.6320868134498596,0.5271958112716675,0.15922732651233673,0.09468961507081985,0.375
37,0.9705760478973389,0.4762284755706787,0.6337433457374573,0.5328600406646729,0.16329702734947205,0.09432467073202133,0.375
38,0.9706460237503052,0.47698402404785156,0.6382535696029663,0.5301147103309631,0.16263911128044128,0.09411251544952393,0.375
39,0.9705678224563599,0.47816771268844604,0.6418442130088806,0.5299047231674194,0.1636478155851364,0.09415575116872787,0.375
40,0.9704377055168152,0.4778473675251007,0.6433897018432617,0.5244084000587463,0.1637074053287506,0.09442779421806335,0.375
41,0.9709681272506714,0.47818636894226074,0.6485781669616699,0.5222390294075012,0.16011366248130798,0.09274392575025558,0.375
42,0.9713501930236816,0.4783582091331482,0.6450672745704651,0.5290113687515259,0.16310355067253113,0.09157606214284897,0.375
43,0.971215009689331,0.4784358739852905,0.639094889163971,0.5295668244361877,0.16598635911941528,0.09135758876800537,0.375
