epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,lr,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.979897141456604,0.2626723051071167,0.10819029062986374,0.0586274228990078,0.02890178933739662,0.132980078458786,0.001,0.5262725353240967,0.9747785925865173,0.9649240374565125,0.9950210452079773,0.9846627712249756,0.28847238421440125,0.147399440407753,0.08077266812324524,0.05242585390806198,0.056768957525491714,0.7033289670944214,0.9846835732460022,0.9845996499061584,0.9948953986167908
1,0.9854590892791748,0.31878581643104553,0.26814141869544983,0.17635193467140198,0.13917455077171326,0.052676837891340256,0.001,0.6210989952087402,0.9891708493232727,0.9827818870544434,0.9963607788085938,0.9857009053230286,0.33675292134284973,0.2880363166332245,0.17543239891529083,0.14441540837287903,0.04378292337059975,0.5528481602668762,0.9882351756095886,0.9845848083496094,0.9960564970970154
2,0.9847780466079712,0.29727843403816223,0.20926229655742645,0.11817295104265213,0.07901984453201294,0.06344090402126312,0.001,0.6488922238349915,0.9868230223655701,0.9829105138778687,0.9955943822860718,0.9846627712249756,0.2887842059135437,0.1909509301185608,0.10699928551912308,0.07339293509721756,0.056550584733486176,0.6730549931526184,0.9845395684242249,0.9845027327537537,0.99485844373703
3,0.9848853349685669,0.32383590936660767,0.255893349647522,0.1955111175775528,0.14071089029312134,0.04746555909514427,0.001,0.708142876625061,0.9890025854110718,0.9827927947044373,0.9963099956512451,0.9846969246864319,0.3294146656990051,0.25379887223243713,0.19237905740737915,0.14376337826251984,0.05514715239405632,0.7225198149681091,0.9894710779190063,0.9839116334915161,0.9964483976364136
4,0.985485851764679,0.3617304861545563,0.35405033826828003,0.29823723435401917,0.21231494843959808,0.03654869273304939,0.00020000001,0.6802941560745239,0.9932234883308411,0.9831739664077759,0.9976414442062378,0.9856001734733582,0.36780551075935364,0.38436105847358704,0.308814138174057,0.22239866852760315,0.03630242496728897,0.6634065508842468,0.9931968450546265,0.982945442199707,0.9976085424423218
5,0.9871222376823425,0.3854232132434845,0.39837566018104553,0.3749900758266449,0.22934085130691528,0.033095184713602066,0.00020000001,0.6965101957321167,0.9940049648284912,0.9831051826477051,0.997867226600647,0.9867569208145142,0.3875632584095001,0.3691362142562866,0.35571733117103577,0.2111755907535553,0.03674068674445152,0.7291082143783569,0.9919705986976624,0.98395174741745,0.9972225427627563
6,0.9891504645347595,0.4094231128692627,0.4594762921333313,0.45394667983055115,0.21366335451602936,0.030341986566781998,0.00020000001,0.7006758451461792,0.9939645528793335,0.9843092560768127,0.9978591203689575,0.9889078736305237,0.42094844579696655,0.4576773941516876,0.47978225350379944,0.1897844821214676,0.034404028207063675,0.6953495740890503,0.9923674464225769,0.9851979613304138,0.9973747730255127
7,0.9902166128158569,0.4313068091869354,0.5289307832717896,0.481648325920105,0.20843301713466644,0.028447913005948067,0.00020000001,0.7075309157371521,0.993096113204956,0.9863575100898743,0.9976084232330322,0.989797055721283,0.43613335490226746,0.5163392424583435,0.5409802794456482,0.20458738505840302,0.030443882569670677,0.7127295732498169,0.9929959177970886,0.9855561852455139,0.9975764155387878
8,0.9909806847572327,0.4515262842178345,0.5786665081977844,0.529758632183075,0.2008020579814911,0.026059536263346672,0.00020000001,0.7305465340614319,0.9932488799095154,0.9878146648406982,0.9976727366447449,0.9899625778198242,0.43570244312286377,0.5532914996147156,0.590376615524292,0.21710564196109772,0.03161681443452835,0.6921446323394775,0.9939236044883728,0.9843705296516418,0.9978566765785217
9,0.991279125213623,0.46175360679626465,0.5894860625267029,0.5554462671279907,0.21955710649490356,0.02567627653479576,0.00020000001,0.7396495342254639,0.993522047996521,0.9880090355873108,0.9977632164955139,0.9902269840240479,0.464213103055954,0.5396072268486023,0.5681073665618896,0.20384827256202698,0.029688552021980286,0.7537229061126709,0.9920265674591064,0.9880586266517639,0.9972869753837585
10,0.9918096661567688,0.4809642434120178,0.6239233613014221,0.6063797473907471,0.20932544767856598,0.02359974943101406,0.00020000001,0.7437067031860352,0.9933326840400696,0.989531397819519,0.9977236986160278,0.9910781979560852,0.48379623889923096,0.6418302655220032,0.614564061164856,0.2205345779657364,0.028213409706950188,0.7417703866958618,0.9926363229751587,0.9888349771499634,0.9974878430366516
11,0.992049515247345,0.4918535351753235,0.642738938331604,0.62381911277771,0.22071798145771027,0.02291332371532917,0.00020000001,0.755290687084198,0.9934409260749817,0.9899893403053284,0.9977617859840393,0.9909561276435852,0.48287877440452576,0.598383903503418,0.6333725452423096,0.2167815864086151,0.026493210345506668,0.7546185255050659,0.9926998019218445,0.9888792037963867,0.9975134134292603
12,0.9922522306442261,0.4979310631752014,0.6606590747833252,0.624958872795105,0.21424970030784607,0.02285417914390564,0.00020000001,0.7560988664627075,0.9935274720191956,0.9902766346931458,0.9977958798408508,0.9910525679588318,0.4781995713710785,0.5743001103401184,0.6424586772918701,0.221319779753685,0.028197379782795906,0.7503222227096558,0.993493378162384,0.987953245639801,0.9977695941925049
13,0.9924350380897522,0.5039669275283813,0.6650404334068298,0.6333128809928894,0.23278088867664337,0.022112753242254257,0.00020000001,0.7617979049682617,0.9937061071395874,0.990430474281311,0.9978588223457336,0.9912984371185303,0.5041360855102539,0.6471225619316101,0.6214775443077087,0.22816739976406097,0.026669643819332123,0.7575464248657227,0.9924994111061096,0.989810049533844,0.9974632859230042
14,0.9931356310844421,0.5297651886940002,0.7104442715644836,0.6783687472343445,0.24151453375816345,0.019290883094072342,4.0000003e-05,0.7600120306015015,0.9940259456634521,0.9916033148765564,0.9979771971702576,0.9918950796127319,0.5264073610305786,0.6709810495376587,0.6935308575630188,0.2267753630876541,0.025227248668670654,0.7689348459243774,0.9928404688835144,0.9905057549476624,0.9975852370262146
15,0.9933506846427917,0.5410992503166199,0.7277752161026001,0.6983726024627686,0.23945440351963043,0.018456751480698586,4.0000003e-05,0.7689663171768188,0.9940809607505798,0.991966187953949,0.9979996681213379,0.9918979406356812,0.531453549861908,0.6979520916938782,0.7101967334747314,0.23005269467830658,0.0242910198867321,0.7591411471366882,0.9927548766136169,0.9904577136039734,0.9975624084472656
16,0.9934424757957458,0.5453712940216064,0.7316970825195312,0.7099325656890869,0.24068668484687805,0.01815437152981758,4.0000003e-05,0.7741738557815552,0.9941919445991516,0.9920326471328735,0.9980349540710449,0.9920280575752258,0.5343598127365112,0.6800110340118408,0.6993484497070312,0.23321230709552765,0.02529463917016983,0.7747839689254761,0.9928312301635742,0.9907615780830383,0.99758380651474
17,0.9935011863708496,0.5492069721221924,0.7386757731437683,0.702873945236206,0.24767598509788513,0.017908912152051926,4.0000003e-05,0.7749370336532593,0.994190514087677,0.9921650886535645,0.9980382323265076,0.992118239402771,0.5349225997924805,0.6783059239387512,0.7202795743942261,0.23980627954006195,0.024205397814512253,0.7743055820465088,0.9930920004844666,0.9907108545303345,0.9976707100868225
18,0.9936476349830627,0.553200900554657,0.742604672908783,0.7228180766105652,0.25517842173576355,0.0173969566822052,8.000001e-06,0.777292013168335,0.9943752288818359,0.9922891855239868,0.9980985522270203,0.9920433163642883,0.5412067770957947,0.6889705061912537,0.6985253095626831,0.23114238679409027,0.025098564103245735,0.7811720371246338,0.9926840662956238,0.990912139415741,0.9975393414497375
19,0.9936514496803284,0.5552454590797424,0.7450610995292664,0.719943106174469,0.2518596351146698,0.01734836958348751,8.000001e-06,0.7792877554893494,0.9942935705184937,0.9923584461212158,0.9980728626251221,0.992129385471344,0.5418922901153564,0.6935878396034241,0.7132685780525208,0.23737642168998718,0.024523887783288956,0.7771995663642883,0.9928538203239441,0.99089115858078,0.9975962042808533
20,0.993682324886322,0.556948184967041,0.749370276927948,0.7205817699432373,0.2538515031337738,0.017227742820978165,1.6000001e-06,0.7792614698410034,0.9943096041679382,0.9924023151397705,0.9980790019035339,0.9921284317970276,0.5417285561561584,0.6907828450202942,0.7122570872306824,0.23693455755710602,0.024670518934726715,0.7787004709243774,0.9928534030914307,0.9909036159515381,0.9975957274436951
