epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,mean_io_u
0,0.9778275489807129,0.2758420407772064,0.04285641014575958,0.021643273532390594,0.11038558185100555,0.08748775720596313,0.7715373039245605
1,0.9860148429870605,0.27232447266578674,0.047670356929302216,0.02294318377971649,0.11274051666259766,0.0573081336915493,0.7866263389587402
2,0.9876068234443665,0.26919451355934143,0.044970449060201645,0.02187483012676239,0.10424540191888809,0.05510680004954338,0.7961251735687256
3,0.9897290468215942,0.26631519198417664,0.041276413947343826,0.019666848704218864,0.0964713767170906,0.04758847877383232,0.7912055850028992
4,0.9880805015563965,0.2679733633995056,0.04132574051618576,0.01966828666627407,0.09741595387458801,0.05316008999943733,0.7920627593994141
5,0.9888777732849121,0.26771846413612366,0.03988325223326683,0.02033928595483303,0.09668475389480591,0.05015299841761589,0.7964324355125427
6,0.9893835186958313,0.26701924204826355,0.0392969511449337,0.020769784227013588,0.09454357624053955,0.048585228621959686,0.7930598258972168
7,0.9896703362464905,0.26751938462257385,0.040364205837249756,0.020756248384714127,0.09432944655418396,0.04727471247315407,0.7978949546813965
8,0.9905550479888916,0.2660519778728485,0.038554541766643524,0.019397173076868057,0.09010012447834015,0.044068869203329086,0.7986267805099487
9,0.9903864860534668,0.2661527395248413,0.0377185195684433,0.01753765344619751,0.08947612345218658,0.04443914815783501,0.8002997040748596
10,0.9900835156440735,0.2664870321750641,0.037813201546669006,0.01841830462217331,0.0899529829621315,0.04587187618017197,0.8005942106246948
11,0.9902408719062805,0.26640430092811584,0.03766975551843643,0.018191663548350334,0.08957275748252869,0.04526688531041145,0.8002474308013916
12,0.9901857376098633,0.26653650403022766,0.038076985627412796,0.018148470669984818,0.09004132449626923,0.04531135782599449,0.7992472648620605
13,0.9899879097938538,0.2667299807071686,0.03809327259659767,0.01783578284084797,0.09018037468194962,0.04607251659035683,0.7989882230758667
14,0.9902056455612183,0.26650166511535645,0.03786119446158409,0.017649203538894653,0.08968791365623474,0.045404061675071716,0.7987841367721558
