epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,mean_io_u
34,0.9682359099388123,0.3971685767173767,0.5575281381607056,0.3174697160720825,0.09809055924415588,0.10188286006450653,0.375
35,0.9687702655792236,0.39843514561653137,0.5608006715774536,0.32066941261291504,0.0993807390332222,0.10019659996032715,0.375
36,0.9684920310974121,0.3992122709751129,0.5612748265266418,0.3225812017917633,0.10019650310277939,0.10036714375019073,0.375
37,0.9676662087440491,0.3996201455593109,0.5618011355400085,0.3206002712249756,0.10064227133989334,0.10233180969953537,0.375
38,0.9674238562583923,0.40098199248313904,0.5628376007080078,0.3231133222579956,0.1031566858291626,0.10219398885965347,0.375
39,0.9678630828857422,0.3983936905860901,0.556602418422699,0.3159329891204834,0.10381209850311279,0.1008923202753067,0.375
40,0.9677467346191406,0.3998029828071594,0.557705819606781,0.31952375173568726,0.1061483696103096,0.10029181838035583,0.375
41,0.9673473834991455,0.40018248558044434,0.5546143651008606,0.32260018587112427,0.10586906969547272,0.10071485489606857,0.375
42,0.9665598273277283,0.39938783645629883,0.5471258163452148,0.32236000895500183,0.10709577053785324,0.102164626121521,0.375
43,0.9662941098213196,0.39946410059928894,0.5427409410476685,0.32400691509246826,0.10859629511833191,0.10206416249275208,0.375
44,0.9662628769874573,0.3983881175518036,0.5420636534690857,0.31680676341056824,0.10910255461931229,0.10231653600931168,0.375
45,0.9661287069320679,0.3990544080734253,0.5422617197036743,0.3180256187915802,0.11044501513242722,0.10217032581567764,0.375
46,0.965985894203186,0.39964768290519714,0.5420122146606445,0.32029688358306885,0.11057568341493607,0.10174775868654251,0.375
47,0.965717077255249,0.4002232849597931,0.5431553721427917,0.31993913650512695,0.1117587611079216,0.10225041955709457,0.375
48,0.9660623669624329,0.4005778133869171,0.5456150770187378,0.31942784786224365,0.1129964217543602,0.1014702245593071,0.375
49,0.9661322236061096,0.3998911380767822,0.5454192161560059,0.31866389513015747,0.11254995316267014,0.1012544184923172,0.375
50,0.966302216053009,0.40095609426498413,0.5469599962234497,0.32081571221351624,0.11420295387506485,0.10048855096101761,0.375
51,0.9665223360061646,0.4017675518989563,0.5489404201507568,0.32291433215141296,0.11531244963407516,0.09981445968151093,0.375
52,0.966297447681427,0.40211108326911926,0.5481740236282349,0.3241683542728424,0.11645607650279999,0.10003030300140381,0.375
53,0.9667133688926697,0.4021031856536865,0.5470127463340759,0.3275194466114044,0.1158573254942894,0.09877866506576538,0.375
54,0.9669660925865173,0.40184083580970764,0.5437531471252441,0.3309497535228729,0.1163109764456749,0.09784002602100372,0.375
55,0.9670991897583008,0.4019676744937897,0.5432611703872681,0.3336513340473175,0.11599989235401154,0.09729629009962082,0.375
56,0.966549277305603,0.4021299183368683,0.5414817929267883,0.3341468274593353,0.11635315418243408,0.09835348278284073,0.375
57,0.9668698906898499,0.4017965793609619,0.5363262295722961,0.33764466643333435,0.11548982560634613,0.0972135066986084,0.375
58,0.9672788381576538,0.40107133984565735,0.5335157513618469,0.3401194214820862,0.11435536295175552,0.09618593007326126,0.375
59,0.9666466116905212,0.4013308584690094,0.5302447080612183,0.34144023060798645,0.11570830643177032,0.09678439050912857,0.375
epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,mean_io_u
