epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,mean_io_u
0,0.9822906255722046,0.35379743576049805,0.2721322178840637,0.21579770743846893,0.2691570818424225,0.0489242747426033,0.6298831701278687
1,0.9779824614524841,0.32646501064300537,0.2883663475513458,0.22100204229354858,0.2444579303264618,0.0882275402545929,0.6286052465438843
2,0.9841393828392029,0.3101315498352051,0.2973083257675171,0.1939755082130432,0.19802403450012207,0.06533793359994888,0.6281943321228027
3,0.9531941413879395,0.2956615090370178,0.2663307785987854,0.1589738428592682,0.15238602459430695,0.10778746008872986,0.6265417337417603
4,0.9591647982597351,0.310738205909729,0.30773624777793884,0.18563327193260193,0.1691795140504837,0.09654391556978226,0.6273230314254761
5,0.9647005200386047,0.3135782480239868,0.30751484632492065,0.18901769816875458,0.17335762083530426,0.08458806574344635,0.6279568672180176
6,0.9583417773246765,0.31136301159858704,0.3315437138080597,0.16865892708301544,0.1485922485589981,0.09880746901035309,0.6265914440155029
7,0.9583165645599365,0.3084704875946045,0.3204357922077179,0.15608571469783783,0.1337413638830185,0.10567889362573624,0.6266757249832153
8,0.9601047039031982,0.3084890842437744,0.31832167506217957,0.13893908262252808,0.13558655977249146,0.10281771421432495,0.6269408464431763
9,0.9616267681121826,0.30499011278152466,0.29988208413124084,0.13069073855876923,0.12622548639774323,0.10268699377775192,0.6266692876815796
10,0.9626283049583435,0.3086030185222626,0.30190303921699524,0.13354170322418213,0.13144344091415405,0.10044880956411362,0.6270236968994141
11,0.9643810987472534,0.3131527602672577,0.3214567005634308,0.14328424632549286,0.13625890016555786,0.0970177873969078,0.6262298226356506
12,0.9657622575759888,0.3177974820137024,0.3371712863445282,0.15169480443000793,0.14489136636257172,0.09367614984512329,0.6264805197715759
13,0.9676471948623657,0.31870031356811523,0.3531682789325714,0.15687987208366394,0.15105466544628143,0.09104133397340775,0.6260628700256348
14,0.968535304069519,0.32443001866340637,0.3649745583534241,0.16717314720153809,0.16132083535194397,0.08828354626893997,0.6263655424118042
15,0.9698804616928101,0.32662543654441833,0.37592563033103943,0.17496299743652344,0.16797079145908356,0.08551949262619019,0.6265310645103455
16,0.9707062244415283,0.32716721296310425,0.36774739623069763,0.18059925734996796,0.17516115307807922,0.0840664952993393,0.6270963549613953
17,0.9712220430374146,0.3302260637283325,0.36782893538475037,0.18533429503440857,0.18174093961715698,0.08200444281101227,0.6273646354675293
18,0.9707491993904114,0.3289760649204254,0.3686547875404358,0.18466980755329132,0.18398796021938324,0.08458023518323898,0.6272583603858948
19,0.9720369577407837,0.32603517174720764,0.35667484998703003,0.1870952993631363,0.18604473769664764,0.08323676139116287,0.6271154284477234
20,0.9727826714515686,0.32560721039772034,0.3624342978000641,0.18726038932800293,0.18444682657718658,0.08256641775369644,0.6262100338935852
21,0.9733563661575317,0.32419532537460327,0.35876402258872986,0.18150751292705536,0.178153857588768,0.08100476115942001,0.6263694167137146
22,0.972862184047699,0.3242890536785126,0.3596591055393219,0.1780843585729599,0.17441780865192413,0.08114530146121979,0.6265385150909424
23,0.9737315773963928,0.3216828405857086,0.3522994816303253,0.1738443225622177,0.16717392206192017,0.07944735139608383,0.6267721056938171
24,0.974280595779419,0.3207941949367523,0.34956565499305725,0.17544132471084595,0.1680605113506317,0.07966520637273788,0.6265957951545715
25,0.9748982191085815,0.3221181035041809,0.3525768518447876,0.1766262799501419,0.16984936594963074,0.07766345888376236,0.6267809867858887
26,0.9740145802497864,0.32191887497901917,0.35624492168426514,0.1780468374490738,0.1711510717868805,0.0804889053106308,0.6265542507171631
27,0.9748550057411194,0.31952473521232605,0.3476583957672119,0.1718934327363968,0.16587045788764954,0.07847653329372406,0.6264982223510742
28,0.9748589992523193,0.3173848092556,0.3422878086566925,0.1671990007162094,0.16015079617500305,0.0794437974691391,0.6265072822570801
29,0.9755180478096008,0.3175716698169708,0.33779674768447876,0.17080816626548767,0.16421906650066376,0.07748094946146011,0.6264650821685791
30,0.9758513569831848,0.3176724910736084,0.336981862783432,0.17005932331085205,0.1624498814344406,0.0764155313372612,0.6267338395118713
31,0.9763785600662231,0.31770020723342896,0.3346356749534607,0.17252275347709656,0.1660093367099762,0.07494696974754333,0.6265791654586792
32,0.9762579798698425,0.31667372584342957,0.3298020660877228,0.16874916851520538,0.16206711530685425,0.07559972256422043,0.6266789436340332
33,0.9764541983604431,0.31698304414749146,0.33302634954452515,0.1691458374261856,0.16320741176605225,0.07500957697629929,0.6268188953399658
34,0.9764675498008728,0.3160143196582794,0.3294180929660797,0.1661832332611084,0.15965580940246582,0.07532397657632828,0.626891016960144
35,0.9763521552085876,0.31807151436805725,0.3341313600540161,0.16768991947174072,0.1628907024860382,0.07529658824205399,0.6266460418701172
36,0.9762253761291504,0.31674012541770935,0.32781994342803955,0.16422946751117706,0.15892037749290466,0.07649939507246017,0.6267178058624268
37,0.9762794375419617,0.3179875910282135,0.3296513557434082,0.16790443658828735,0.16318075358867645,0.07644526660442352,0.6265525221824646
38,0.976702868938446,0.3178466856479645,0.33300477266311646,0.16990794241428375,0.16389364004135132,0.07625552266836166,0.6264004707336426
39,0.9769352078437805,0.31720057129859924,0.3289659023284912,0.16834396123886108,0.16107942163944244,0.07560297101736069,0.6265276670455933
