epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,lr,mean_io_u,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u
0,0.9350537061691284,0.2525615692138672,0.10444054752588272,0.06332714855670929,0.04693407565355301,0.32097798585891724,1e-04,0.3921925127506256,0.9514982104301453,0.2745544910430908,0.20143799483776093,0.12935979664325714,0.10757508128881454,0.22392265498638153,0.3761160969734192
1,0.9531928896903992,0.2906426191329956,0.19680029153823853,0.10363531112670898,0.10946787893772125,0.18861810863018036,1e-04,0.4273819923400879,0.9515103101730347,0.283966600894928,0.24537496268749237,0.1459883749485016,0.14032742381095886,0.20775647461414337,0.38075289130210876
2,0.9549419283866882,0.3110570013523102,0.25473737716674805,0.12517109513282776,0.13971030712127686,0.16445457935333252,1e-04,0.4496314525604248,0.9565808176994324,0.2960417866706848,0.3013952374458313,0.15944279730319977,0.1639583557844162,0.19168975949287415,0.37586909532546997
3,0.9595385193824768,0.32685521245002747,0.31463074684143066,0.13944455981254578,0.14987032115459442,0.15001420676708221,1e-04,0.4492080807685852,0.9600294232368469,0.3051880896091461,0.3516189157962799,0.17410162091255188,0.17569687962532043,0.18580643832683563,0.37535932660102844
4,0.9621247053146362,0.3415924906730652,0.3623279929161072,0.15522907674312592,0.16390925645828247,0.13805970549583435,1e-04,0.43115535378456116,0.960623562335968,0.3201166093349457,0.3968934416770935,0.19404760003089905,0.19613638520240784,0.17021600902080536,0.375006765127182
5,0.9634566307067871,0.35384905338287354,0.3968938887119293,0.16967780888080597,0.18115608394145966,0.13018053770065308,1e-04,0.41574156284332275,0.9623006582260132,0.3325725197792053,0.4259850084781647,0.20757099986076355,0.21637240052223206,0.15498989820480347,0.3750053644180298
6,0.9649094939231873,0.3677559196949005,0.4337858557701111,0.18358729779720306,0.20107561349868774,0.12067488580942154,1e-04,0.4209982454776764,0.9632844924926758,0.3493956923484802,0.4602620005607605,0.22055545449256897,0.23575754463672638,0.1367805451154709,0.37502321600914
7,0.9661293029785156,0.3773263990879059,0.4612358808517456,0.19494350254535675,0.21404410898685455,0.11489690840244293,1e-04,0.4212932586669922,0.9627894163131714,0.36176055669784546,0.49485716223716736,0.23702363669872284,0.24630901217460632,0.129236102104187,0.37529176473617554
8,0.9665386080741882,0.38660216331481934,0.48101669549942017,0.2086610347032547,0.22447218000888824,0.10902827978134155,1e-04,0.42361393570899963,0.9652862548828125,0.3811699151992798,0.5247228741645813,0.2573741674423218,0.26470643281936646,0.114937923848629,0.3797639012336731
9,0.9677999019622803,0.3995647132396698,0.5121132731437683,0.23353241384029388,0.23568958044052124,0.10131403058767319,1e-04,0.44063472747802734,0.9631434679031372,0.3774903416633606,0.5378291010856628,0.29324081540107727,0.26170510053634644,0.1272033452987671,0.38467052578926086
10,0.9683834910392761,0.4093664884567261,0.5284574031829834,0.255901038646698,0.24716831743717194,0.09578606486320496,1e-04,0.4553544223308563,0.966552734375,0.3774988055229187,0.5318143963813782,0.3022724390029907,0.27445778250694275,0.12122850120067596,0.3753461241722107
11,0.970518946647644,0.42910102009773254,0.5652879476547241,0.2975437343120575,0.2753218710422516,0.0822068527340889,2e-05,0.4513762891292572,0.9691699147224426,0.41387686133384705,0.577773928642273,0.3062492907047272,0.2847098112106323,0.09318390488624573,0.39344391226768494
12,0.9714128971099854,0.4403185248374939,0.5852915048599243,0.3119577467441559,0.28765854239463806,0.07769379019737244,2e-05,0.488117516040802,0.9693161845207214,0.4192129075527191,0.5836052298545837,0.31687092781066895,0.28874775767326355,0.09222760051488876,0.39577779173851013
13,0.9720140099525452,0.44702818989753723,0.5931505560874939,0.32914477586746216,0.2960003614425659,0.07537069171667099,2e-05,0.5009869933128357,0.9699738621711731,0.4259234070777893,0.5903900861740112,0.33062002062797546,0.29358839988708496,0.08973793685436249,0.40070706605911255
14,0.9726675152778625,0.4527665972709656,0.600774884223938,0.3467201292514801,0.30182746052742004,0.07360994815826416,2e-05,0.5134479999542236,0.9702641367912292,0.43096724152565,0.5948693752288818,0.34608903527259827,0.297179639339447,0.08899372071027756,0.4043305814266205
15,0.973369300365448,0.4593096971511841,0.607272744178772,0.3651651442050934,0.30846989154815674,0.07156916707754135,2e-05,0.526793897151947,0.9704680442810059,0.4351150393486023,0.5986493229866028,0.36154788732528687,0.29954034090042114,0.08893262594938278,0.4065343737602234
16,0.9741034507751465,0.4650731384754181,0.6129481196403503,0.38380932807922363,0.3134227991104126,0.0700889378786087,2e-05,0.5338816046714783,0.9711052179336548,0.44101017713546753,0.6035980582237244,0.3773367404937744,0.3022046685218811,0.08768419921398163,0.4117817282676697
17,0.9745981693267822,0.47073253989219666,0.6178179979324341,0.40230828523635864,0.31860750913619995,0.06894639879465103,2e-05,0.5433397889137268,0.9718431234359741,0.44772475957870483,0.609634518623352,0.39355888962745667,0.3063454031944275,0.08584635704755783,0.41710206866264343
18,0.9751524925231934,0.47736606001853943,0.6231178045272827,0.4216007888317108,0.3262253999710083,0.06737538427114487,2e-05,0.557794451713562,0.9722133874893188,0.4533436894416809,0.613850474357605,0.4118247628211975,0.3107748031616211,0.08510352671146393,0.424024373292923
19,0.9756490588188171,0.48392707109451294,0.6283792853355408,0.4419272541999817,0.33073535561561584,0.06613656133413315,2e-05,0.5604798197746277,0.9724817276000977,0.460355281829834,0.6191912293434143,0.4346615672111511,0.3133803606033325,0.08428977429866791,0.42744478583335876
20,0.9760047197341919,0.49159470200538635,0.6346376538276672,0.4638170599937439,0.33765366673469543,0.06481415033340454,2e-05,0.5675582885742188,0.9724372625350952,0.4658135771751404,0.62225741147995,0.45120519399642944,0.3149530291557312,0.08425357192754745,0.43483734130859375
21,0.9764737486839294,0.49909862875938416,0.640468955039978,0.4826125204563141,0.3445511758327484,0.06314950436353683,2e-05,0.5766249895095825,0.9726364016532898,0.4701918959617615,0.6265207529067993,0.4626510739326477,0.316281795501709,0.08351929485797882,0.4285691976547241
22,0.9767524003982544,0.5052931308746338,0.6468364596366882,0.49415627121925354,0.34931859374046326,0.061866749078035355,2e-05,0.5826123356819153,0.9728964567184448,0.47704726457595825,0.6310009956359863,0.475696861743927,0.32249778509140015,0.08310066163539886,0.44015273451805115
23,0.9770546555519104,0.5118946433067322,0.6522398591041565,0.5100385546684265,0.35650908946990967,0.06074677035212517,2e-05,0.5868182182312012,0.9725437164306641,0.47842568159103394,0.631536602973938,0.485781192779541,0.32358378171920776,0.08370790630578995,0.43445447087287903
24,0.977283775806427,0.5158968567848206,0.6557119488716125,0.5195752382278442,0.35938698053359985,0.05999968945980072,2e-05,0.591360867023468,0.9733390808105469,0.48482194542884827,0.6376228928565979,0.4880569577217102,0.3229624629020691,0.08267412334680557,0.46502920985221863
25,0.9775073528289795,0.5210281610488892,0.6601769328117371,0.5282065272331238,0.36524590849876404,0.059004634618759155,2e-05,0.6035193204879761,0.973193347454071,0.4863283038139343,0.6377019882202148,0.4983256757259369,0.32734453678131104,0.08290563523769379,0.46065518260002136
26,0.9778238534927368,0.5257166028022766,0.6655746698379517,0.5373614430427551,0.3696210980415344,0.058095160871744156,2e-05,0.6047427654266357,0.972500205039978,0.48617473244667053,0.6361890435218811,0.5031682848930359,0.32634198665618896,0.08453147858381271,0.4560733139514923
27,0.9782429337501526,0.5306172966957092,0.6702206134796143,0.5518444776535034,0.37361252307891846,0.0575137697160244,4e-06,0.5921307802200317,0.9744620323181152,0.4920894205570221,0.6459141969680786,0.49335727095603943,0.3247135579586029,0.08027181774377823,0.4600463807582855
28,0.9785584807395935,0.5348429083824158,0.6746470928192139,0.5557000637054443,0.38083064556121826,0.05588039383292198,4e-06,0.6095525026321411,0.9743943214416504,0.4925723075866699,0.6453294157981873,0.49322161078453064,0.3269810378551483,0.08072823286056519,0.4683523178100586
29,0.978725254535675,0.5365011096000671,0.6767175793647766,0.558427631855011,0.38381972908973694,0.05538235604763031,4e-06,0.6167289018630981,0.9743756055831909,0.49416080117225647,0.6458419561386108,0.49477967619895935,0.3290258049964905,0.08097223937511444,0.4784488379955292
30,0.9790393710136414,0.5397448539733887,0.6803975105285645,0.5657600164413452,0.3881148099899292,0.054506879299879074,1e-06,0.6240329146385193,0.9744521975517273,0.49492207169532776,0.6475483775138855,0.49423688650131226,0.32988840341567993,0.08074469864368439,0.4785987138748169
31,0.9791098237037659,0.5406503081321716,0.6819385290145874,0.5656093955039978,0.3887070417404175,0.05435062572360039,1e-06,0.6257621049880981,0.9744166135787964,0.49502307176589966,0.6476020812988281,0.4927835464477539,0.3294965624809265,0.0811028704047203,0.48122909665107727
32,0.9791378974914551,0.5407668948173523,0.6819576025009155,0.5665425658226013,0.3880363702774048,0.05436648800969124,1e-06,0.6253032684326172,0.974367618560791,0.49511441588401794,0.6478766202926636,0.4943532347679138,0.33056002855300903,0.08105789124965668,0.4786643981933594
33,0.9791510105133057,0.5414897203445435,0.6831554174423218,0.5668540000915527,0.3897623121738434,0.054315708577632904,1e-06,0.625971794128418,0.9743250012397766,0.4950947165489197,0.6475690603256226,0.4939294457435608,0.3304921090602875,0.08133162558078766,0.47990524768829346
34,0.9791419506072998,0.541874885559082,0.6833537817001343,0.5671416521072388,0.39121195673942566,0.054180655628442764,1e-06,0.6262896656990051,0.9742701649665833,0.495178759098053,0.6475138068199158,0.4940478205680847,0.3306666910648346,0.08151871711015701,0.4805222749710083
35,0.9791923761367798,0.5424835681915283,0.6841365694999695,0.5690875053405762,0.3917264938354492,0.05405615270137787,1e-06,0.6279656291007996,0.9743159413337708,0.49559226632118225,0.6476172208786011,0.4935897886753082,0.3307318091392517,0.08156702667474747,0.48313385248184204
36,0.9792142510414124,0.5426681637763977,0.6834292411804199,0.5692066550254822,0.39185988903045654,0.05407295748591423,1e-06,0.6274811029434204,0.9742898941040039,0.4957943558692932,0.6481583714485168,0.4936741888523102,0.3308357894420624,0.08152899891138077,0.4808439016342163
37,0.9792425632476807,0.543427050113678,0.6845377087593079,0.5708503127098083,0.3924800455570221,0.05395246669650078,1e-06,0.6263861060142517,0.9742203950881958,0.4957618713378906,0.6477932333946228,0.49313968420028687,0.330535352230072,0.08184950053691864,0.4818958640098572
38,0.9792641401290894,0.5438041090965271,0.6847155690193176,0.5711621046066284,0.3930386006832123,0.05394107475876808,1e-06,0.6282591819763184,0.9742115139961243,0.49614349007606506,0.6480438113212585,0.49436789751052856,0.3313082754611969,0.08182578533887863,0.48283451795578003
